episode,reward,smoothed_reward
1,5.2231,
2,6.9243,
3,4.4158,
4,7.259,
5,7.5018,
6,7.2073,
7,6.3541,
8,5.7633,
9,6.1532,
10,6.3556,
11,6.8667,
12,5.855,
13,7.0553,
14,7.4523,
15,6.1316,
16,5.486,
17,7.5077,
18,6.3817,
19,7.1174,
20,6.6207,
21,7.5073,
22,5.7285,
23,5.5689,
24,6.9183,
25,7.6033,
26,4.5634,
27,7.7492,
28,5.5248,
29,6.6082,
30,6.3065,
31,6.2503,
32,7.0163,
33,7.7393,
34,6.7088,
35,7.9142,
36,6.2079,
37,2.088,
38,6.9859,
39,5.9774,
40,7.7888,
41,6.4151,
42,7.8025,
43,7.4488,
44,6.6452,
45,6.0655,
46,5.3266,
47,6.8738,
48,7.5967,
49,7.8844,
50,6.5962,
51,6.6685,
52,5.4383,
53,7.2873,
54,5.834,
55,6.4378,
56,2.8786,
57,7.0449,
58,8.2642,
59,6.5236,
60,6.9471,
61,6.8862,
62,7.1489,
63,7.7275,
64,6.6225,
65,4.2068,
66,6.729,
67,0.3226,
68,6.126,
69,7.8968,
70,8.9783,
71,6.1088,
72,7.5153,
73,5.4478,
74,7.1674,
75,6.7241,
76,6.8545,
77,-2.8218,
78,7.2907,
79,6.9024,
80,7.5107,
81,5.743,
82,8.0918,
83,6.7266,
84,7.1504,
85,6.6284,
86,4.6592,
87,7.3701,
88,8.535,
89,6.1366,
90,7.1909,
91,4.9432,
92,6.1813,
93,7.9039,
94,5.6524,
95,6.8602,
96,3.043,
97,4.9428,
98,6.7576,
99,6.4997,
100,7.4251,6.4015
101,6.8111,6.4174
102,-2.4898,6.3233
103,7.2332,6.3514
104,6.6411,6.3453
105,7.3322,6.3436
106,5.7527,6.329
107,7.6328,6.3418
108,7.0323,6.3545
109,6.6983,6.3599
110,7.1384,6.3678
111,7.0855,6.37
112,6.6977,6.3784
113,7.678,6.3846
114,7.537,6.3855
115,6.4618,6.3888
116,6.4161,6.3981
117,6.9711,6.3927
118,7.7364,6.4062
119,6.1027,6.3961
120,7.9498,6.4094
121,5.4936,6.3892
122,6.7363,6.3993
123,7.8052,6.4217
124,6.3292,6.4158
125,7.2362,6.4121
126,7.4964,6.4415
127,7.4079,6.438
128,7.7968,6.4608
129,7.1608,6.4663
130,8.2677,6.4859
131,6.0175,6.4836
132,7.0956,6.4844
133,7.5312,6.4823
134,7.1661,6.4869
135,6.5385,6.4731
136,7.8103,6.4891
137,6.3143,6.5314
138,4.7112,6.5086
139,3.8982,6.4879
140,7.2139,6.4821
141,5.1633,6.4696
142,7.578,6.4673
143,7.1512,6.4644
144,-0.8891,6.389
145,6.255,6.3909
146,1.2243,6.3499
147,6.5828,6.347
148,6.932,6.3403
149,7.4484,6.336
150,5.4961,6.325
151,7.6874,6.3352
152,5.9748,6.3405
153,7.0857,6.3385
154,4.2419,6.3226
155,6.9934,6.3281
156,6.1307,6.3607
157,6.4313,6.3545
158,6.9651,6.3415
159,7.8343,6.3546
160,6.4228,6.3494
161,7.1891,6.3524
162,7.452,6.3555
163,6.1592,6.3398
164,7.4109,6.3477
165,4.7666,6.3533
166,8.069,6.3667
167,7.3048,6.4365
168,6.1461,6.4367
169,4.7771,6.4055
170,8.2128,6.3978
171,6.2803,6.3996
172,7.1738,6.3961
173,5.0693,6.3924
174,6.7951,6.3886
175,2.9308,6.3507
176,5.9962,6.3421
177,5.0055,6.4204
178,6.475,6.4122
179,7.9425,6.4226
180,4.3964,6.3915
181,6.0184,6.3942
182,8.0533,6.3939
183,2.8887,6.3555
184,7.583,6.3598
185,6.6544,6.3601
186,7.5511,6.389
187,7.2405,6.3877
188,6.5187,6.3675
189,3.2464,6.3386
190,6.0359,6.3271
191,4.8446,6.3261
192,-1.2003,6.2523
193,5.6845,6.2301
194,7.3646,6.2472
195,6.8398,6.247
196,6.7981,6.2845
197,6.2081,6.2972
198,6.9855,6.2995
199,7.7239,6.3117
200,8.364,6.3211
201,7.4572,6.3276
202,6.613,6.4186
203,6.9866,6.4161
204,7.4494,6.4242
205,6.0964,6.4119
206,7.8207,6.4325
207,6.8521,6.4247
208,7.1658,6.4261
209,7.5447,6.4345
210,5.4761,6.4179
211,7.3155,6.4202
212,8.2158,6.4354
213,6.8954,6.4276
214,8.6039,6.4382
215,7.8844,6.4525
216,6.4303,6.4526
217,7.4357,6.4572
218,7.4546,6.4544
219,2.7507,6.4209
220,7.6067,6.4175
221,3.0992,6.3935
222,3.3306,6.3595
223,6.8169,6.3496
224,7.2954,6.3592
225,5.7277,6.3442
226,3.529,6.3045
227,3.9238,6.2696
228,7.113,6.2628
229,6.4349,6.2555
230,5.2587,6.2255
231,7.1873,6.2372
232,7.9265,6.2455
233,6.5254,6.2354
234,7.1113,6.2349
235,3.2245,6.2017
236,8.12,6.2048
237,5.2405,6.1941
238,7.7373,6.2243
239,6.6241,6.2516
240,7.2153,6.2516
241,6.4868,6.2648
242,7.4372,6.2634
243,7.9476,6.2714
244,8.4262,6.3646
245,6.3612,6.3656
246,6.5745,6.4191
247,7.3704,6.427
248,3.9072,6.3967
249,6.4781,6.387
250,7.0178,6.4023
251,6.709,6.3925
252,4.1202,6.3739
253,7.1467,6.3745
254,7.5134,6.4073
255,7.9872,6.4172
256,7.3615,6.4295
257,7.2676,6.4379
258,7.5397,6.4436
259,6.6561,6.4318
260,8.0422,6.448
261,6.5818,6.4419
262,8.1749,6.4492
263,7.3638,6.4612
264,3.8117,6.4252
265,7.5848,6.4534
266,6.7711,6.4404
267,7.2316,6.4397
268,7.7936,6.4562
269,5.851,6.4669
270,7.779,6.4626
271,3.9013,6.4388
272,7.2295,6.4393
273,7.7341,6.466
274,7.8911,6.477
275,7.8973,6.5266
276,2.0647,6.4873
277,3.7483,6.4747
278,5.8742,6.4687
279,6.8711,6.458
280,3.2349,6.4464
281,8.1097,6.4673
282,6.9637,6.4564
283,7.0149,6.4977
284,1.5491,6.4373
285,6.4374,6.4352
286,7.0393,6.43
287,5.6068,6.4137
288,8.2405,6.4309
289,7.3755,6.4722
290,7.2455,6.4843
291,7.5949,6.5118
292,6.5209,6.589
293,5.5212,6.5874
294,8.2037,6.5958
295,5.0284,6.5777
296,8.2905,6.5926
297,7.5405,6.6059
298,4.9421,6.5855
299,7.414,6.5824
300,7.1099,6.5699
301,-0.0923,6.4944
302,7.2024,6.5003
303,7.8426,6.5088
304,6.9067,6.5034
305,7.7225,6.5196
306,5.8306,6.4997
307,7.8576,6.5098
308,8.0417,6.5186
309,6.6124,6.5092
310,7.2127,6.5266
311,6.6702,6.5202
312,7.7459,6.5155
313,7.6659,6.5232
314,6.6929,6.504
315,7.6369,6.5016
316,6.9483,6.5068
317,7.4134,6.5065
318,6.904,6.501
319,7.6179,6.5497
320,6.3472,6.5371
321,7.0144,6.5763
322,7.2172,6.6151
323,7.9673,6.6266
324,7.9333,6.633
325,7.9237,6.655
326,6.9339,6.689
327,5.2741,6.7025
328,7.6581,6.708
329,7.542,6.719
330,7.6671,6.7431
331,8.2507,6.7538
332,6.1603,6.7361
333,7.2424,6.7433
334,7.4,6.7461
335,7.1467,6.7854
336,7.3252,6.7774
337,6.8963,6.794
338,7.5852,6.7925
339,7.7711,6.8039
340,7.8341,6.8101
341,6.9903,6.8152
342,7.0379,6.8112
343,7.4218,6.8059
344,7.0604,6.7922
345,7.2781,6.8014
346,7.2308,6.808
347,8.5092,6.8194
348,7.5566,6.8559
349,8.1028,6.8721
350,7.344,6.8754
351,7.8573,6.8868
352,7.436,6.92
353,7.2142,6.9207
354,7.5078,6.9206
355,8.0393,6.9211
356,7.4051,6.9216
357,6.8507,6.9174
358,7.1816,6.9138
359,7.4943,6.9222
360,6.9984,6.9118
361,6.9009,6.915
362,7.5027,6.9082
363,7.9914,6.9145
364,6.3692,6.9401
365,6.698,6.9312
366,6.6968,6.9305
367,7.4185,6.9324
368,6.8086,6.9225
369,7.4918,6.9389
370,7.6277,6.9374
371,5.6297,6.9547
372,8.1968,6.9644
373,7.4446,6.9615
374,7.4177,6.9567
375,4.0758,6.9185
376,6.8509,6.9664
377,7.8964,7.0079
378,7.4651,7.0238
379,8.1357,7.0364
380,7.4483,7.0785
381,7.389,7.0713
382,7.3424,7.0751
383,6.3194,7.0682
384,6.988,7.1226
385,5.1194,7.1094
386,7.6615,7.1156
387,7.0353,7.1299
388,7.5152,7.1226
389,6.9973,7.1188
390,7.4783,7.1212
391,0.2751,7.048
392,7.5831,7.0586
393,8.1379,7.0848
394,9.3547,7.0963
395,7.0046,7.116
396,3.2577,7.0657
397,7.4162,7.0645
398,7.3803,7.0888
399,7.6286,7.091
400,7.0574,7.0905
401,6.6436,7.1578
402,7.6068,7.1619
403,7.8016,7.1615
404,5.4508,7.1469
405,7.3603,7.1433
406,2.3319,7.1083
407,5.2363,7.0821
408,4.2726,7.0444
409,-2.0008,6.9583
410,7.4453,6.9606
411,6.5852,6.9597
412,-2.9545,6.8527
413,6.6027,6.8421
414,0.3463,6.7786
415,6.9284,6.7715
416,1.6551,6.7186
417,6.304,6.7075
418,-3.2348,6.6061
419,7.8995,6.6089
420,7.7523,6.623
421,6.8648,6.6215
422,7.0211,6.6195
423,-0.9096,6.5308
424,8.2492,6.5339
425,6.0447,6.5151
426,7.9032,6.5248
427,5.3268,6.5254
428,5.9879,6.5087
429,7.7491,6.5107
430,7.2977,6.507
431,7.8145,6.5027
432,8.3988,6.5251
433,3.4105,6.4867
434,6.5599,6.4783
435,7.787,6.4847
436,7.98,6.4913
437,7.0524,6.4929
438,6.321,6.4802
439,7.1568,6.4741
440,8.5463,6.4812
441,5.5259,6.4665
442,6.2982,6.4591
443,7.5706,6.4606
444,6.8993,6.459
445,7.6615,6.4629
446,7.833,6.4689
447,8.4214,6.468
448,7.8566,6.471
449,7.6397,6.4664
450,6.5923,6.4589
451,7.1887,6.4522
452,4.303,6.4208
453,7.0246,6.4189
454,6.937,6.4132
455,6.3822,6.3967
456,7.5039,6.3977
457,7.5896,6.405
458,7.3548,6.4068
459,7.2981,6.4048
460,7.6988,6.4118
461,7.5088,6.4179
462,6.3199,6.4061
463,4.8124,6.3743
464,7.5538,6.3861
465,7.6396,6.3955
466,6.1793,6.3904
467,8.3046,6.3992
468,6.3833,6.395
469,7.9236,6.3993
470,8.0784,6.4038
471,6.1415,6.4089
472,7.7953,6.4049
473,7.6755,6.4072
474,6.6986,6.4
475,7.3391,6.4327
476,6.9644,6.4338
477,5.7256,6.4121
478,6.9036,6.4065
479,7.759,6.4027
480,7.5104,6.4033
481,7.0922,6.4003
482,7.6352,6.4033
483,7.5928,6.416
484,4.6238,6.3924
485,7.135,6.4125
486,7.3545,6.4095
487,7.2063,6.4112
488,8.0452,6.4165
489,7.0264,6.4168
490,7.5282,6.4173
491,7.5916,6.4904
492,7.6907,6.4915
493,6.474,6.4749
494,6.1122,6.4424
495,7.6348,6.4487
496,6.1988,6.4781
497,7.8637,6.4826
498,7.4722,6.4835
499,5.4702,6.462
500,7.9563,6.4709
501,8.0075,6.4846
502,7.3034,6.4816
503,7.6521,6.4801
504,7.0993,6.4965
505,6.7372,6.4903
506,7.4472,6.5415
507,7.1789,6.5609
508,7.3875,6.592
509,5.5761,6.6678
510,8.5284,6.6786
511,7.9242,6.692
512,8.2098,6.8037
513,7.358,6.8112
514,6.7763,6.8755
515,7.5507,6.8817
516,6.3172,6.9284
517,6.7547,6.9329
518,5.2354,7.0176
519,7.3769,7.0124
520,7.4788,7.0096
521,6.1859,7.0028
522,7.0906,7.0035
523,6.1905,7.0745
524,8.1857,7.0739
525,4.7951,7.0614
526,8.1165,7.0635
527,6.9597,7.0799
528,6.8764,7.0887
529,3.6532,7.0478
530,6.8036,7.0428
531,7.2712,7.0374
532,8.1737,7.0352
533,5.7778,7.0588
534,7.3118,7.0663
535,7.5728,7.0642
536,6.1342,7.0457
537,7.3905,7.0491
538,7.1416,7.0573
539,8.2935,7.0687
540,7.9057,7.0623
541,7.7133,7.0842
542,7.7411,7.0986
543,6.5914,7.0888
544,7.0882,7.0907
545,7.4014,7.0881
546,7.9756,7.0895
547,7.6393,7.0817
548,7.3695,7.0768
549,7.7298,7.0777
550,7.3312,7.0851
551,7.3634,7.0869
552,7.597,7.1198
553,8.1473,7.131
554,6.0877,7.1225
555,7.6147,7.1349
556,7.6356,7.1362
557,8.1198,7.1415
558,6.9353,7.1373
559,6.2148,7.1265
560,9.0271,7.1397
561,6.7158,7.1318
562,7.2339,7.1409
563,7.7402,7.1702
564,6.0743,7.1554
565,8.093,7.16
566,6.3755,7.1619
567,6.2641,7.1415
568,6.9114,7.1468
569,-0.2544,7.065
570,5.2183,7.0364
571,7.7254,7.0523
572,7.9777,7.0541
573,6.5942,7.0433
574,6.5645,7.0419
575,8.0906,7.0494
576,7.1902,7.0517
577,7.734,7.0718
578,6.9026,7.0718
579,6.4899,7.0591
580,7.1358,7.0553
581,7.2301,7.0567
582,7.9639,7.06
583,6.9043,7.0531
584,7.5412,7.0823
585,7.043,7.0814
586,7.7053,7.0849
587,7.4922,7.0877
588,7.7948,7.0852
589,8.0645,7.0956
590,6.5668,7.086
591,7.1616,7.0817
592,6.1228,7.066
593,7.3854,7.0751
