episode,reward,smoothed_reward
1,0.3064,
2,-0.0992,
3,0.4296,
4,0.0482,
5,-0.6737,
6,0.4083,
7,-0.6772,
8,-0.8189,
9,-0.7824,
10,0.1466,
11,-0.7992,
12,0.0747,
13,-0.8269,
14,0.2445,
15,-0.3512,
16,-0.024,
17,-0.2287,
18,-1.4512,
19,-1.3184,
20,-1.3528,
21,-1.5031,
22,-0.6852,
23,-1.5477,
24,-1.2078,
25,0.1855,
26,0.2149,
27,0.1202,
28,0.2482,
29,-0.4854,
30,-0.2314,
31,0.1294,
32,-1.0272,
33,0.5215,
34,-0.5487,
35,1.0442,
36,0.3642,
37,-1.0954,
38,0.2569,
39,-1.6428,
40,-1.976,
41,0.146,
42,-1.1775,
43,0.0671,
44,-1.7388,
45,-0.5378,
46,-1.0079,
47,0.2694,
48,-2.3498,
49,-1.9735,
50,-0.0104,
51,0.827,
52,0.2636,
53,-0.8018,
54,-1.1874,
55,-0.0621,
56,0.5452,
57,0.146,
58,0.435,
59,0.2762,
60,0.4098,
61,-0.7799,
62,-0.9456,
63,0.0804,
64,0.3087,
65,0.1962,
66,-1.9642,
67,-0.8573,
68,-1.1172,
69,0.898,
70,0.3227,
71,-0.4309,
72,0.4252,
73,-0.6835,
74,0.0811,
75,-0.4243,
76,0.6613,
77,-0.1965,
78,-0.0424,
79,0.1485,
80,0.2784,
81,-0.2834,
82,-1.4112,
83,0.6076,
84,0.4196,
85,-1.4187,
86,0.4179,
87,0.2711,
88,-1.2783,
89,0.4801,
90,-0.0363,
91,0.7064,
92,-0.6802,
93,0.5657,
94,0.161,
95,0.441,
96,-0.8268,
97,-0.7305,
98,-0.2627,
99,-1.0747,
100,0.0611,-0.3199
101,-1.2968,-0.3359
102,0.6707,-0.3282
103,-0.1793,-0.3343
104,0.6055,-0.3287
105,0.3598,-0.3184
106,-0.6678,-0.3291
107,-0.4061,-0.3264
108,-1.7207,-0.3354
109,-0.0782,-0.3284
110,-0.5707,-0.3356
111,-0.0826,-0.3284
112,-0.9036,-0.3382
113,-0.2653,-0.3326
114,-1.3138,-0.3482
115,0.5002,-0.3396
116,0.527,-0.3341
117,-0.7813,-0.3397
118,0.4203,-0.3209
119,-0.508,-0.3128
120,0.6955,-0.2923
121,-1.0091,-0.2874
122,-0.3298,-0.2839
123,-0.3856,-0.2722
124,-0.5969,-0.2661
125,0.554,-0.2624
126,-0.013,-0.2647
127,-0.1615,-0.2675
128,-0.5778,-0.2758
129,0.2464,-0.2685
130,0.0818,-0.2653
131,0.4936,-0.2617
132,-0.5354,-0.2568
133,0.1781,-0.2602
134,0.3582,-0.2512
135,0.1579,-0.26
136,0.0476,-0.2632
137,-0.2292,-0.2545
138,0.2821,-0.2543
139,-1.0652,-0.2485
140,0.6085,-0.2226
141,-0.2126,-0.2262
142,0.3795,-0.2107
143,-0.0225,-0.2116
144,-1.7469,-0.2116
145,0.5637,-0.2006
146,0.2314,-0.1882
147,-0.9243,-0.2002
148,-0.8588,-0.1853
149,0.1974,-0.1635
150,0.363,-0.1598
151,0.8691,-0.1594
152,0.2461,-0.1596
153,-1.0192,-0.1617
154,0.2943,-0.1469
155,0.7494,-0.1388
156,0.1913,-0.1423
157,-0.2097,-0.1459
158,0.0569,-0.1497
159,0.3704,-0.1487
160,0.537,-0.1475
161,0.3458,-0.1362
162,-0.5125,-0.1319
163,0.227,-0.1304
164,0.1649,-0.1319
165,0.1946,-0.1319
166,0.1553,-0.1107
167,-0.6038,-0.1081
168,0.436,-0.0926
169,-1.1196,-0.1128
170,-0.8579,-0.1246
171,0.2605,-0.1177
172,0.1002,-0.1209
173,-0.483,-0.1189
174,0.475,-0.115
175,0.1428,-0.1093
176,0.4683,-0.1112
177,0.3462,-0.1058
178,0.4741,-0.1007
179,0.2389,-0.0997
180,-0.6976,-0.1095
181,0.0117,-0.1066
182,-0.7103,-0.0995
183,-0.2193,-0.1078
184,-0.2354,-0.1144
185,0.024,-0.0999
186,-0.5588,-0.1097
187,0.2345,-0.1101
188,-0.5075,-0.1024
189,-0.2071,-0.1092
190,-0.0361,-0.1092
191,-0.0671,-0.117
192,-1.1443,-0.1216
193,-1.2345,-0.1396
194,0.2378,-0.1388
195,0.2977,-0.1403
196,0.0296,-0.1317
197,0.2723,-0.1217
198,0.4495,-0.1146
199,0.3744,-0.1001
200,0.5043,-0.0956
201,0.2759,-0.0799
202,0.5233,-0.0814
203,0.1779,-0.0778
204,-0.0273,-0.0841
205,0.138,-0.0864
206,-0.9694,-0.0894
207,-0.1334,-0.0867
208,0.4849,-0.0646
209,0.2406,-0.0614
210,0.1704,-0.054
211,0.3285,-0.0499
212,0.4213,-0.0366
213,-1.0789,-0.0448
214,0.267,-0.029
215,-0.1554,-0.0355
216,0.4436,-0.0364
217,0.4784,-0.0238
218,-0.6151,-0.0341
219,0.4951,-0.0241
220,0.3296,-0.0277
221,0.2512,-0.0151
222,-0.2599,-0.0144
223,0.3261,-0.0073
224,-0.0114,-0.0015
225,0.4244,-0.0028
226,0.2916,0.0003
227,0.2779,0.0047
228,-1.5269,-0.0048
229,0.1651,-0.0056
230,0.5284,-0.0012
231,0.6659,0.0006
232,0.6587,0.0125
233,1.1152,0.0219
234,0.5966,0.0243
235,0.3552,0.0262
236,0.319,0.0289
237,0.2215,0.0334
238,0.5875,0.0365
239,0.4077,0.0512
240,0.3388,0.0485
241,-1.287,0.0378
242,0.2708,0.0367
243,0.4852,0.0418
244,0.3677,0.0629
245,0.6441,0.0637
246,0.4348,0.0658
247,0.6333,0.0813
248,-0.4604,0.0853
249,0.4982,0.0883
250,0.4885,0.0896
251,0.3875,0.0848
252,0.5406,0.0877
253,0.2583,0.1005
254,-0.602,0.0915
255,0.2427,0.0865
256,0.3353,0.0879
257,0.4251,0.0942
258,0.1145,0.0948
259,0.3272,0.0944
260,-0.8892,0.0801
261,0.6133,0.0828
262,0.4534,0.0925
263,0.3322,0.0935
264,0.7009,0.0989
265,0.7245,0.1042
266,-0.134,0.1013
267,0.4211,0.1115
268,0.4672,0.1118
269,-0.2216,0.1208
270,0.015,0.1296
271,0.3528,0.1305
272,0.0642,0.1301
273,-1.1058,0.1239
274,0.3644,0.1228
275,0.1519,0.1229
276,0.2022,0.1202
277,0.0193,0.1169
278,0.5582,0.1178
279,0.6556,0.1219
280,0.4947,0.1339
281,0.2426,0.1362
282,-0.1476,0.1418
283,0.5315,0.1493
284,0.1112,0.1528
285,-0.8833,0.1437
286,0.9489,0.1588
287,0.2707,0.1591
288,0.7729,0.172
289,0.2169,0.1762
290,0.5292,0.1818
291,0.5273,0.1878
292,0.3106,0.2023
293,0.4782,0.2195
294,0.6264,0.2234
295,0.4015,0.2244
296,0.3239,0.2273
297,0.4272,0.2289
298,-0.618,0.2182
299,-0.4132,0.2103
300,0.086,0.2062
301,-1.3853,0.1895
302,0.6395,0.1907
303,0.2384,0.1913
304,0.5294,0.1969
305,0.4679,0.2002
306,-1.2996,0.1969
307,-0.5439,0.1928
308,-0.7898,0.18
309,0.1069,0.1787
310,0.3896,0.1809
311,-1.4371,0.1632
312,0.2567,0.1616
313,0.0554,0.1729
314,-0.2399,0.1678
315,-0.4257,0.1651
316,0.3462,0.1642
317,0.6117,0.1655
318,-0.7687,0.164
319,0.3891,0.1629
320,0.6574,0.1662
321,-0.7187,0.1565
322,0.44,0.1635
323,0.6456,0.1667
324,0.7344,0.1741
325,0.3953,0.1738
326,0.4073,0.175
327,0.006,0.1723
328,0.4862,0.1924
329,0.3135,0.1939
330,0.6439,0.195
331,0.5392,0.1938
332,0.1232,0.1884
333,0.1194,0.1785
334,-0.1173,0.1713
335,0.4214,0.172
336,0.5237,0.174
337,0.0782,0.1726
338,0.18,0.1685
339,0.4393,0.1688
340,0.5215,0.1707
341,0.2678,0.1862
342,0.4873,0.1884
343,0.3899,0.1874
344,0.5331,0.1891
345,0.6938,0.1896
346,0.1987,0.1872
347,0.5778,0.1867
348,0.1389,0.1927
349,0.1637,0.1893
350,0.4435,0.1889
351,0.2351,0.1873
352,0.1387,0.1833
353,0.2082,0.1828
354,0.4642,0.1935
355,-0.0472,0.1906
356,0.6436,0.1937
357,-0.0723,0.1887
358,0.521,0.1928
359,-1.3844,0.1756
360,0.3196,0.1877
361,0.4074,0.1857
362,0.11,0.1822
363,0.3811,0.1827
364,0.3643,0.1794
365,0.5495,0.1776
366,0.3334,0.1823
367,0.4751,0.1828
368,0.6448,0.1846
369,0.4372,0.1912
370,0.4464,0.1955
371,-1.0409,0.1816
372,0.6479,0.1874
373,0.4423,0.2029
374,0.2985,0.2022
375,0.7185,0.2079
376,0.2995,0.2089
377,0.3475,0.2121
378,0.4456,0.211
379,0.3413,0.2079
380,0.4166,0.2071
381,0.3957,0.2086
382,0.2147,0.2122
383,0.0846,0.2078
384,0.1042,0.2077
385,0.5904,0.2224
386,0.5263,0.2182
387,0.4324,0.2198
388,0.2386,0.2145
389,0.5733,0.2181
390,0.4429,0.2172
391,0.3047,0.215
392,0.5549,0.2174
393,0.2019,0.2146
394,0.5802,0.2142
395,0.1548,0.2117
396,0.7343,0.2158
397,0.8966,0.2205
398,0.3239,0.2299
399,0.1312,0.2354
400,0.3995,0.2385
401,-0.0032,0.2523
402,0.2526,0.2485
403,0.8611,0.2547
404,0.3491,0.2529
405,0.5562,0.2538
406,0.5318,0.2721
407,0.6787,0.2843
408,0.391,0.2961
409,0.0394,0.2954
410,0.3095,0.2946
411,0.2882,0.3119
412,0.941,0.3187
413,0.298,0.3212
414,0.4907,0.3285
415,0.8816,0.3416
416,0.4224,0.3423
417,0.5625,0.3418
418,0.3708,0.3532
419,0.5977,0.3553
420,0.3484,0.3522
421,-0.62,0.3532
422,0.2433,0.3512
423,0.3065,0.3478
424,0.466,0.3452
425,0.3499,0.3447
426,0.4963,0.3456
427,0.22,0.3477
428,0.2559,0.3454
429,0.1334,0.3436
430,0.3342,0.3405
431,0.3306,0.3384
432,0.5603,0.3428
433,0.2411,0.344
434,0.1872,0.3471
435,0.5001,0.3479
436,0.3571,0.3462
437,0.7288,0.3527
438,0.2674,0.3536
439,0.3578,0.3528
440,0.4451,0.352
441,0.0414,0.3497
442,0.4875,0.3497
443,0.7204,0.353
444,0.2744,0.3505
445,0.4447,0.348
446,0.5126,0.3511
447,0.6416,0.3517
448,-0.0232,0.3501
449,0.3294,0.3518
450,0.5569,0.3529
451,0.0652,0.3512
452,0.356,0.3534
453,0.3707,0.355
454,0.5775,0.3561
455,0.2892,0.3595
456,0.4709,0.3578
457,0.4308,0.3628
458,0.4995,0.3626
459,0.0869,0.3773
460,0.4425,0.3785
461,0.3849,0.3783
462,-0.012,0.3771
463,0.6299,0.3796
464,0.5924,0.3819
465,0.3517,0.3799
466,0.2041,0.3786
467,0.6036,0.3799
468,0.4084,0.3775
469,0.4313,0.3775
470,0.2449,0.3754
471,0.4157,0.39
472,0.5193,0.3887
473,0.3809,0.3881
474,0.3071,0.3882
475,0.6083,0.3871
476,0.3142,0.3872
477,0.4014,0.3878
478,0.435,0.3877
479,0.4232,0.3885
480,0.2152,0.3865
481,0.4021,0.3865
482,0.3995,0.3884
483,0.6143,0.3937
484,0.4356,0.397
485,0.297,0.3941
486,0.2845,0.3917
487,0.4264,0.3916
488,0.614,0.3953
489,0.3833,0.3934
490,0.2692,0.3917
491,0.6801,0.3955
492,0.3304,0.3932
493,0.6431,0.3976
494,0.2388,0.3942
495,0.0585,0.3933
496,0.5997,0.3919
497,0.5615,0.3886
498,0.3628,0.3889
499,0.2316,0.3899
500,0.2757,0.3887
501,0.4988,0.3937
502,0.7058,0.3983
503,0.4682,0.3943
504,0.6488,0.3973
505,0.6869,0.3986
506,0.6488,0.3998
507,0.5237,0.3983
508,-0.2171,0.3922
509,0.5929,0.3977
510,0.2212,0.3968
511,0.0201,0.3941
512,0.648,0.3912
513,0.4393,0.3926
514,0.7639,0.3954
515,0.2262,0.3888
516,0.2725,0.3873
517,0.4931,0.3866
518,0.4589,0.3875
519,0.1776,0.3833
520,0.4744,0.3846
521,0.2177,0.3929
522,0.3819,0.3943
523,0.1873,0.3931
524,-0.4229,0.3842
525,0.3988,0.3847
526,0.3694,0.3835
527,0.2836,0.3841
528,0.0919,0.3825
529,0.5184,0.3863
530,0.4003,0.387
531,0.4311,0.388
532,0.5549,0.3879
533,0.3511,0.389
534,0.7621,0.3948
535,0.5222,0.395
536,0.4665,0.3961
537,0.4878,0.3937
538,0.6473,0.3975
539,0.2198,0.3961
540,0.5181,0.3968
541,0.3688,0.4001
542,-0.2745,0.3925
543,0.1571,0.3868
544,0.2642,0.3867
545,0.4757,0.387
546,-0.0817,0.3811
